PC_CODE,PC_DESCRIPTION,UNIT,CTY_CODE,CTY_DESC,Qty,VAL(USD Million)
99,OTHER COMMODITIES,NA,599,UNSPECIFIED,NA,371.280801
99,OTHER COMMODITIES,NA,1213,KENYA,NA,18.251164
99,OTHER COMMODITIES,NA,1395,TANZANIA REP,NA,21.8441
99,OTHER COMMODITIES,NA,1417,UGANDA,NA,8.034605
99,OTHER COMMODITIES,NA,2035,BENIN,NA,1.812666
99,OTHER COMMODITIES,NA,2050,BURKINA FASO,NA,0.388851
99,OTHER COMMODITIES,NA,2057,CAMEROON,NA,0.893831
99,OTHER COMMODITIES,NA,2067,C AFRI REP,NA,0.520453
99,OTHER COMMODITIES,NA,2069,CHAD,NA,0.008746
99,OTHER COMMODITIES,NA,2087,CONGO P REP,NA,1.305564
99,OTHER COMMODITIES,NA,2141,GABON,NA,0.189981
99,OTHER COMMODITIES,NA,2199,COTE D' IVOIRE,NA,2.01026
99,OTHER COMMODITIES,NA,2241,MADAGASCAR,NA,0.526392
99,OTHER COMMODITIES,NA,2255,MAURITANIA,NA,0.179651
99,OTHER COMMODITIES,NA,2257,MAURITIUS,NA,2.165936
99,OTHER COMMODITIES,NA,2289,NIGER,NA,0.354779
99,OTHER COMMODITIES,NA,2345,RWANDA,NA,0.694902
99,OTHER COMMODITIES,NA,2353,SENEGAL,NA,0.583421
99,OTHER COMMODITIES,NA,2399,TOGO,NA,1.846712
99,OTHER COMMODITIES,NA,2459,CONGO D. REP.,NA,1.552282
99,OTHER COMMODITIES,NA,3011,ANGOLA,NA,0.662927
99,OTHER COMMODITIES,NA,3041,BOTSWANA,NA,0.050752
99,OTHER COMMODITIES,NA,3053,BURUNDI,NA,2.860889
99,OTHER COMMODITIES,NA,3063,CAPE VERDE IS,NA,0.127725
99,OTHER COMMODITIES,NA,3085,COMOROS,NA,0.057967
99,OTHER COMMODITIES,NA,3102,DJIBOUTI,NA,0.228736
99,OTHER COMMODITIES,NA,3115,ETHIOPIA,NA,4.334386
99,OTHER COMMODITIES,NA,3116,ERITREA,NA,0.046591
99,OTHER COMMODITIES,NA,3117,EQUTL GUINEA,NA,0.016089
99,OTHER COMMODITIES,NA,3143,GAMBIA,NA,0.113243
99,OTHER COMMODITIES,NA,3149,GHANA,NA,26.957833
99,OTHER COMMODITIES,NA,3167,GUINEA,NA,0.411008
99,OTHER COMMODITIES,NA,3169,GUINEA BISSAU,NA,0.000003
99,OTHER COMMODITIES,NA,3227,LESOTHO,NA,0.06313
99,OTHER COMMODITIES,NA,3229,LIBERIA,NA,1.367514
99,OTHER COMMODITIES,NA,3243,MALAWI,NA,19.440902
